,ID,Popularity,Duration
No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,75.0,260640.0
We Found Love,6qn9YLKt13AGvpq9jfO8py,75.0,215226.0
Hours In Silence,0sSRLXxknVTQDStgU1NqpY,74.0,399153.0
7 Years,5kqIPrATaCc2LqxVWzQGbk,76.0,237300.0
Levitating,39LLxExYz6ewLAcYrzQQyP,79.0,203807.0
Stay With Me,4ull8OZTjWtNSYmtRZWefe,2.0,172723.0
Nxde,6NnCWIWV740gP7DQ8kqdIE,80.0,178453.0
California Dreamin' - Single Version,4s6LhHAV5SEsOV0lC2tjvJ,76.0,162373.0
Baby,6epn3r7S14KUqlReYr77hA,77.0,214240.0
Disturbia,2VOomzT6VavJOGBeySqaMc,74.0,238626.0
I Like Me Better,0EcQcdcbQeVJn9fknj44Be,78.0,197436.0
Mastermind,7FmYn9e7KHMXcxqGSj9LjH,74.0,191039.0
Reminder,37F0uwRSrdzkBiuj0D5UHI,77.0,218880.0
Truth Hurts,3HWzoMvoF3TQfYg4UPszDq,71.0,173325.0
Something About You,6RiiSy9GzSwiyDEJDiMuKe,74.0,153312.0
Beautiful Mistakes (feat. Megan Thee Stallion),5zFglKYiknIxks8geR8rcL,77.0,227395.0
"Dear Maria, Count Me In",0JJP0IS4w0fJx01EcrfkDe,73.0,182826.0
No Idea,7AzlLxHn24DxjgQX73F9fU,76.0,154424.0
Smack That,2kQuhkFX7uSVepCD3h29g5,77.0,212360.0
I'm Not The Only One,43NWMxRjgtI8xk9g1E5WvG,3.0,239426.0
Too Good At Goodbyes,4Y9vf2VvqYDOofOTMfbXt0,1.0,201000.0
Unholy,4cMhShaRJsgwY0RFr37tOr,4.0,156943.0
Hey There Delilah,4RCWB3V8V0dignt99LZ8vH,75.0,232533.0
Beautiful Girls,1hGy2eLcmC8eKx7qr1tOqx,74.0,225373.0
Money On My Mind,5e9MCEQjBLqP1ooGbtcqFJ,1.0,192670.0
I'm Not The Only One,1aljG1vyZ9Wf0xdxyzmAMK,2.0,239426.0
Beware,6bxUnsSGZCmoHHU5auwtps,69.0,235186.0
Deep,3LfHBTYZBTqmz43tvVXJBd,74.0,92093.0
Question...?,6C7OF1Jal7YkyjzyUG8vkK,73.0,210556.0
Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,79.0,191013.0
Devil Town,0vf2eBw2inhl8y61cYQMv2,73.0,179955.0
24K Magic,6b8Be6ljOzmkOmFslEb23P,76.0,225983.0
Trophies,6HfOzLLjsaXsehIFEsrxTk,72.0,188320.0
Judas,0QkWikH5Z3U0f79T9iuF6c,68.0,249066.0
Trap Queen,2d8JP84HNLKhmd6IYOoupQ,70.0,222093.0
Snowman,7uoFMmxln0GPXQ0AcCBXRq,80.0,165900.0
Golden,45S5WTQEGOB1VHr1Q4FuPl,77.0,208906.0
After Party,527k23H0A4Q0UJN3vGs0Da,74.0,167915.0
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),4gzsuuZypVbxs0Af1LSZyB,80.0,207301.0
Without Me,6FZDfxM3a3UCqtzo5pxSLZ,78.0,201660.0
Love Of My Life,1mw0RgNXIpYRyyCdBQbLgA,76.0,191638.0
A Thousand Years,6lanRgr6wXibZr8KgzXxBl,76.0,285120.0
Maniac,6KfoDhO4XUWSbnyKjNp9c4,75.0,185773.0
Run BTS,69xohKu8C1fsflYAiSNbwM,82.0,204939.0
What A Time (feat. Niall Horan),5WtfUKzXircvW8l5aaVZWT,77.0,173306.0
How to Save a Life,5fVZC9GiM4e8vu99W0Xf6J,76.0,262533.0
This Town,0qvzXomUDJVaUboy2wMfiS,76.0,232852.0
Tinnitus (Wanna be a rock),0f0SbtoKGe41cX5LzlnX6X,77.0,157261.0
Mastermind,56hioFjQ0DXrdn04hZcFgG,73.0,191039.0
What's My Age Again?,4LJhJ6DQS7NwE7UKtvcM52,75.0,148360.0
I'm Good (Blue),4QfVfGmZ0huxXY8m2Rw0Rm,2.0,175238.0
I'm Good (Blue),2S2KMHn7oeTELdWnYf5FoA,1.0,175238.0
I'm Good (Blue),03T9xZ5DkG371MYYFQCgxG,1.0,175238.0
I'm Good (Blue),7heCVFZTwcFjptDqLNQpPb,1.0,175238.0
If You Really Love Me (How Will I Know),5WXAyaKyPaivMBJFMF2QBX,1.0,184390.0
Love Yourself,50kpGaPAhYJ3sGmk6vplg0,80.0,233720.0
Jumbotron Shit Poppin,2ZlABhxMMa43COmZ97kKsJ,74.0,137151.0
Delicate,6NFyWDv5CjfwuzoCkw47Xf,75.0,232253.0
Best Day Of My Life,5Hroj5K7vLpIG4FNCRIjbP,75.0,194240.0
Midnight Sky,4i2qxFEVVUi8yOYoxB8TCX,78.0,223280.0
High Infidelity,5kiZGSxgqPdv6rbqL9THdd,74.0,231475.0
Rehab (Winter In Paris),0zWbYGQq5O1KQd0iqzgjP6,71.0,180303.0
Teenage Dream,5jzKL4BDMClWqRguW5qZvh,69.0,227741.0
Stir Fry,2UVbBKQOdFAekPTRsnkzcf,73.0,190288.0
Down,6cmm1LMvZdB5zsCwX5BjqE,74.0,212506.0
Kilby Girl,1170VohRSx6GwE6QDCHPPH,73.0,282205.0
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),1tkMs9wDPknQ3ZHcKDw1ES,72.0,227960.0
Only Girl (In The World),2ENexcMEMsYk0rVJigVD3i,76.0,235493.0
